Environment,Molecule,SMILES,Theta_s,T_rot,N_tot,v_lsr,dv,Isotopologue,Environment code,Excited State
Hot Core,C2H3CN_0,C=CC#N,20,130,750000000000000,3.5,12.5,0,0,0
Hot Core,C2H3CN_1,C=CC#N,10,215,2700000000000000,5,5.5,0,0,0
Hot Core,C2H5CN_0,CCC#N,10,136,2.1E+016,5,7,0,0,0
Hot Core,C2H5CN_1,CCC#N,5,300,6500000000000000,5,7,0,0,0
Hot Core,CH2NH,C=N,10,130,1300000000000000,6,8,0,0,0
Hot Core,CH3CN_v8|1,CC#N,10,260,3700000000000000,6,6,0,0,1
Hot Core,(13^C)H3CN_0,[13CH3]C#N,20,80,80000000000000,5.5,8,1,0,0
Hot Core,(13^C)H3CN_1,[13CH3]C#N,10,260,130000000000000,5.5,8,1,0,0
Hot Core,CH3(13^C)N_0,C[13C]#N,20,80,80000000000000,5.5,8,1,0,0
Hot Core,CH3(13^C)N_1,C[13C]#N,10,260,130000000000000,5.5,8,1,0,0
Hot Core,C(18^O),[C-]#[18O+],10,150,1.9E+017,6,9,1,0,0
Hot Core,C(17^O),[C-]#[17O+],10,150,6.3E+016,6,9,1,0,0
Hot Core,H2O_v2|1,O,5,270,1.7E+019,5.5,7,0,0,1
Hot Core,H2(17^O),[17OH2],5,270,5500000000000000,4.8,7,1,0,0
Hot Core,HDO,[2H]O[H],5,270,3E+016,5,7,1,0,0
Hot Core,H2(34^S),[34SH2],6,145,3.8E+016,4.5,8.6,1,0,0
Hot Core,H2(33^S),[33SH2],6,145,1.1E+016,4.5,8.6,1,0,0
Hot Core,HC3N_0,C#CC#N,20,10,1000000000000000,5.5,6.5,0,0,0
Hot Core,HC3N_1,C#CC#N,10,210,1500000000000000,5.5,6.5,0,0,0
Hot Core,HC3N_v7|1_0,C#CC#N,20,10,1000000000000000,5.5,6.5,0,0,1
Hot Core,HC3N_v7|1_1,C#CC#N,10,210,1500000000000000,5.5,6.5,0,0,1
Hot Core,HCN_v2|2,C#N,10,217,4.7E+017,6,7,0,0,2
Hot Core,H(13^C)N_v2|1,[13CH]#N,10,157,3.5E+016,5.5,6,1,0,1
Hot Core,HC(15^N)_0,C#[15N],20,20,150000000000000,4.5,10,1,0,0
